OTH-405 Zestawienie dokumentów magazynowych za okres od 2017-02-01 do 2017-02-28Oddzia³ (06) 210-LEXUS WARSZAWA-PULAWSKA (210), Dzia³ (21) 210 MAGAZYN LEXUSPodsumowania po dokumentach w³asnychWybrano dokumenty z fakturami/specyfikacjami sprzeda¿y i bez faktur/specyfikacji sprzeda¿y;;;;;;;;
Symb.dok.;Nr dokumentu;z dnia;Komórka organizacyjnaKontrahent;Nr dokumentuzakupowego/sprzeda¿y/zlecenia;;Iloœæpozycji;Wart. wgcen zak.;Wart. wgcen sprz.
RwZ;06/21/200/0000375/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000279/2017;;3;391.68;460.80
RwZ;06/21/200/0000376/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000282/2017;;2;353.57;415.96
RwZ;06/21/200/0000377/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000278/2017;;4;1411.31;2100.93
RwZ;06/21/200/0000378/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000278/2017;;2;15.20;19.27
RwZ;06/21/200/0000379/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000281/2017;;10;418.36;840.08
RwZ;06/21/200/0000380/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000281/2017;;1;4.43;12.85
RwZ;06/21/200/0000381/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000282/2017;;2;70.87;128.87
RwZ;06/21/200/0000382/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000281/2017;;1;476.68;711.46
RwZ;06/21/200/0000383/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000283/2017;;3;391.68;460.80
RwZ;06/21/200/0000384/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000281/2017;;3;104.64;180.41
RwZ;06/21/200/0000385/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000281/2017;;1;13.43;25.86
RwZ;06/21/200/0000386/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000273/2017;;2;353.57;415.96
RwZ;06/21/200/0000387/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000286/2017;;11;457.90;861.34
RwZ;06/21/200/0000388/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000280/2017;;1;1076.08;1397.51
RwZ;06/21/200/0000389/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000280/2017;;1;2.28;9.81
RwZ;06/21/200/0000390/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000288/2017;;1;12.80;22.85
RwZ;06/21/200/0000391/2017;2017-02-03;100-Serwis mechaniczny;Zl 06/11/100/0000290/2017;;2;74.63;128.67
RwZ;06/21/200/0000392/2017;2017-02-04;100-Serwis mechaniczny;Zl 06/11/100/0000291/2017;;5;121.74;335.34
RwZ;06/21/200/0000393/2017;2017-02-04;100-Serwis mechaniczny;Zl 06/11/100/0000292/2017;;6;176.50;435.62
RwZ;06/21/200/0000394/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000294/2017;;2;25.97;43.53
RwZ;06/21/200/0000395/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000295/2017;;11;377.48;756.28
RwZ;06/21/200/0000396/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000294/2017;;2;77.58;133.98
RwZ;06/21/200/0000397/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000299/2017;;11;454.26;883.44
RwZ;06/21/200/0000398/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000295/2017;;1;13.43;25.86
RwZ;06/21/200/0000399/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000297/2017;;9;180.44;427.90
RwZ;06/21/200/0000400/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000299/2017;;1;165.87;246.42
RwZ;06/21/200/0000401/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000300/2017;;8;164.94;410.68
RwZ;06/21/200/0000402/2017;2017-02-06;100-Serwis mechaniczny;Zl 06/11/100/0000300/2017;;2;353.57;415.96
